code,name,ipo_date,type,inst,codes,url,title,date,url1,filename,id,CNum,WNum0,WNum1,WNum2,SNum,Eco,Eco1,Policy,Policy1,VecLen,isGreen,Heter90,DocNum90,Info90,Stdd90
122460.SH,15粤路建,2016-01-08,公司债,广东省公路建设有限公司,122460,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=122460&announcementId=1201826722&orgId=9900013989&announcementTime=2015-12-09,15粤路建 : 募集说明书,2015-12-09,http://static.cninfo.com.cn/finalpage/2015-12-09/1201826722.PDF,[122460.SH]15粤路建 : 募集说明书.pdf,1578,130479,58619,30695,3478,873,0.6035812487425392,2.0454697874052714,2.95084166051908,13.178190597545436,315,False,,-1,,
136088.SH,15保利02,2016-01-22,公司债,保利发展控股集团股份有限公司,136088,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=136088&announcementId=1201826719&orgId=9900000161&announcementTime=2015-12-09,15保利02 : 募集说明书,2015-12-09,http://static.cninfo.com.cn/finalpage/2015-12-09/1201826719.PDF,[136088.SH]15保利02 : 募集说明书.pdf,1580,199096,92958,49052,4808,1441,0.6301064879964714,2.331394005586944,3.549599882380122,11.089874188737896,323,False,,-1,,
136102.SH,15合景02,2016-01-11,公司债,广州合景控股集团有限公司,136102,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=136102&announcementId=1201835754&orgId=9900031725&announcementTime=2015-12-14,15合景02 : 债券募集说明书,2015-12-14,http://static.cninfo.com.cn/finalpage/2015-12-14/1201835754.PDF,[136102.SH]15合景02 : 债券募集说明书.pdf,1581,146138,69924,39202,3949,1295,0.4220856306223125,1.3717782995225156,3.587727860289656,11.950299416994223,333,False,,-1,,
136106.SH,15三友02,2016-01-14,公司债,唐山三友化工股份有限公司,136106,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=136106&announcementId=1201837492&orgId=gssh0600409&announcementTime=2015-12-15,15三友02 : 募集说明书（面向合格投资者）,2015-12-15,http://static.cninfo.com.cn/finalpage/2015-12-15/1201837492.PDF,[136106.SH]15三友02 : 募集说明书（面向合格投资者）.pdf,1582,173708,79224,41620,4721,1453,3.5352403714492,5.427340851943137,2.5891901312022307,9.709462992008364,336,False,,-1,,
112307.SZ,15投资01,2016-02-25,公司债,信达投资有限公司,112307,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=112307&announcementId=1201843879&orgId=GD012141&announcementTime=2015-12-17,15投资01 : 募集说明书,2015-12-17,http://static.cninfo.com.cn/finalpage/2015-12-17/1201843879.PDF,[112307.SZ]15投资01 : 募集说明书.pdf,1406,144364,64915,35127,3791,980,0.4978475415116994,1.874249568044045,3.7192139865874014,13.061176677306936,310,False,,-1,,
127331.SH,PR威海投,2016-01-11,企业债,威海蓝创建设投资有限公司,127331,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127331&announcementId=1201851464&orgId=9900031710&announcementTime=2015-12-21,15威海建投债 : 公司债券募集说明书,2015-12-21,http://static.cninfo.com.cn/finalpage/2015-12-21/1201851464.PDF,[127331.SH]15威海建投债 : 公司债券募集说明书.pdf,3,55207,25484,14202,2411,466,1.674432149097263,3.6400698893418753,10.556202679091438,27.300524170064065,329,False,,-1,,
127348.SH,PR响水债,2016-01-14,企业债,响水县灌江控股集团有限公司,127348,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127348&announcementId=1201853626&orgId=9900031753&announcementTime=2015-12-22,15响水债 : 公司债券募集说明书,2015-12-22,http://static.cninfo.com.cn/finalpage/2015-12-22/1201853626.PDF,[127348.SH]15响水债 : 公司债券募集说明书.pdf,5,67568,31973,18402,2458,676,1.0718718266952498,5.472187746812592,9.308360600248225,25.95058106735868,304,False,,-1,,
127328.SH,PR长轨03,2016-01-14,企业债,长沙市轨道交通集团有限公司,127328,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127328&announcementId=1201855426&orgId=9900026180&announcementTime=2015-12-23,15长沙轨道债03 : 募集说明书,2015-12-23,http://static.cninfo.com.cn/finalpage/2015-12-23/1201855426.PDF,[127328.SH]15长沙轨道债03 : 募集说明书.pdf,6,86096,40746,23194,3299,903,1.1215288681530662,3.0056973666502174,6.998340137275133,27.634471311291552,332,False,,-1,,
127337.SH,PR潜城债,2016-03-29,企业债,潜江市城市建设投资开发有限公司,127337,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127337&announcementId=1201855430&orgId=9900028479&announcementTime=2015-12-23,15潜江城投债 : 募集说明书,2015-12-23,http://static.cninfo.com.cn/finalpage/2015-12-23/1201855430.PDF,[127337.SH]15潜江城投债 : 募集说明书.pdf,57,73752,32236,17129,2934,642,1.395038515193789,3.760538606174562,10.250500394250016,25.83853945532844,327,False,,-1,,
127347.SH,15昆水务,2016-03-16,企业债,昆明滇池水务股份有限公司,127347,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127347&announcementId=1201855427&orgId=9900031762&announcementTime=2015-12-23,15滇池水务债 : 募集说明书,2015-12-23,http://static.cninfo.com.cn/finalpage/2015-12-23/1201855427.PDF,[127347.SH]15滇池水务债 : 募集说明书.pdf,32,79897,36703,20374,3003,712,4.526497813040383,35.90682534838776,7.120333638490489,22.42905096124504,333,False,,-1,,
