code,name,ipo_date,type,inst,codes,url,title,date,url1,filename
127308.SH,PR巴中债,2016-01-04,企业债,巴中市国有资本运营集团有限公司,127308,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127308&announcementId=1201885499&orgId=9900028541&announcementTime=2015-12-31,15巴国资 : 债券募集说明书,2015-12-31,http://static.cninfo.com.cn/finalpage/2015-12-31/1201885499.PDF,[127308.SH]15巴国资 : 债券募集说明书.pdf
127315.SH,15机场债,2016-01-07,企业债,海航机场集团有限公司,127315,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127315&announcementId=1201898174&orgId=9900031623&announcementTime=2016-01-06,15机场债 : 募集说明书,2016-01-06,http://static.cninfo.com.cn/finalpage/2016-01-06/1201898174.PDF,[127315.SH]15机场债 : 募集说明书.pdf
127351.SH,PR黔畅达,2016-01-11,企业债,黔东南州交通旅游建设投资(集团)有限责任公司,127351,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127351&announcementId=1201855201&orgId=9900031718&announcementTime=2015-12-23,15黔畅达专项债 : 募集说明书,2015-12-23,http://static.cninfo.com.cn/finalpage/2015-12-23/1201855201.PDF,[127351.SH]15黔畅达专项债 : 募集说明书.pdf
127331.SH,PR威海投,2016-01-11,企业债,威海蓝创建设投资有限公司,127331,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127331&announcementId=1201851464&orgId=9900031710&announcementTime=2015-12-21,15威海建投债 : 公司债券募集说明书,2015-12-21,http://static.cninfo.com.cn/finalpage/2015-12-21/1201851464.PDF,[127331.SH]15威海建投债 : 公司债券募集说明书.pdf
127263.SH,PR15沭阳,2016-01-14,企业债,沭阳金源资产经营有限公司,127263,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127263&announcementId=1201909456&orgId=9900024710&announcementTime=2016-01-13,15沭金源 : 2015年沭阳金源资产经营有限公司公司债券募集说明书,2016-01-13,http://static.cninfo.com.cn/finalpage/2016-01-13/1201909456.PDF,[127263.SH]15沭金源 : 2015年沭阳金源资产经营有限公司公司债券募集说明书.pdf
127348.SH,PR响水债,2016-01-14,企业债,响水县灌江控股集团有限公司,127348,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127348&announcementId=1201853626&orgId=9900031753&announcementTime=2015-12-22,15响水债 : 公司债券募集说明书,2015-12-22,http://static.cninfo.com.cn/finalpage/2015-12-22/1201853626.PDF,[127348.SH]15响水债 : 公司债券募集说明书.pdf
127328.SH,PR长轨03,2016-01-14,企业债,长沙市轨道交通集团有限公司,127328,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127328&announcementId=1201855426&orgId=9900026180&announcementTime=2015-12-23,15长沙轨道债03 : 募集说明书,2015-12-23,http://static.cninfo.com.cn/finalpage/2015-12-23/1201855426.PDF,[127328.SH]15长沙轨道债03 : 募集说明书.pdf
127310.SH,PR海城改,2016-01-14,企业债,海安城市动迁改造有限公司,127310,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127310&announcementId=1201909442&orgId=9900031565&announcementTime=2016-01-13,15海城改 : 2015年海安城市动迁改造有限公司公司债券募集说明书,2016-01-13,http://static.cninfo.com.cn/finalpage/2016-01-13/1201909442.PDF,[127310.SH]15海城改 : 2015年海安城市动迁改造有限公司公司债券募集说明书.pdf
127274.SH,PR铜城投,2016-01-15,企业债,徐州市铜山区城市建设投资有限责任公司,127274,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127274&announcementId=1201917712&orgId=9900026983&announcementTime=2016-01-14,15铜城投 : 募集说明书,2016-01-14,http://static.cninfo.com.cn/finalpage/2016-01-14/1201917712.PDF,[127274.SH]15铜城投 : 募集说明书.pdf
127335.SH,PR昌乐债,2016-01-22,企业债,昌乐县新城发展有限公司,127335,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=127335&announcementId=1201934503&orgId=9900031696&announcementTime=2016-01-21,15昌乐债 : 公司债券募集说明书,2016-01-21,http://static.cninfo.com.cn/finalpage/2016-01-21/1201934503.PDF,[127335.SH]15昌乐债 : 公司债券募集说明书.pdf
