code,name,ipo_date,type,inst
127308.SH,PR巴中债,2016-01-04,企业债,巴中市国有资本运营集团有限公司
127315.SH,15机场债,2016-01-07,企业债,海航机场集团有限公司
1580326.IB,15渝缙云债,2016-01-07,企业债,重庆缙云资产经营(集团)有限公司
1524008.IB,15西咸管沟项目NPB01,2016-01-07,企业债,西咸新区鸿通管廊投资有限公司
1580323.IB,15潼南债,2016-01-08,企业债,重庆市潼南区城市建设投资(集团)有限公司
127351.SH,PR黔畅达,2016-01-11,企业债,黔东南州交通旅游建设投资(集团)有限责任公司
127331.SH,PR威海投,2016-01-11,企业债,威海蓝创建设投资有限公司
1580328.IB,15沪城建债,2016-01-11,企业债,上海城建(集团)有限公司
1580327.IB,15黔东湖建投债,2016-01-12,企业债,贵州东湖新城市建设投资有限公司
127263.SH,PR15沭阳,2016-01-14,企业债,沭阳金源资产经营有限公司
1580329.IB,15沣东债,2016-01-14,企业债,西安沣东发展集团有限公司
127348.SH,PR响水债,2016-01-14,企业债,响水县灌江控股集团有限公司
1624001.IB,16如东棚改项目债,2016-01-14,企业债,如东县开泰城建投资有限公司
127328.SH,PR长轨03,2016-01-14,企业债,长沙市轨道交通集团有限公司
127310.SH,PR海城改,2016-01-14,企业债,海安城市动迁改造有限公司
127274.SH,PR铜城投,2016-01-15,企业债,徐州市铜山区城市建设投资有限责任公司
1680004.IB,16枝江国资债01,2016-01-15,企业债,枝江市国有资产经营中心
1680006.IB,16平阳债,2016-01-18,企业债,平阳县国资发展有限公司
1680007.IB,16仪征债,2016-01-18,企业债,仪征市城市发展投资控股集团有限公司
1680002.IB,16常德城投债,2016-01-18,企业债,常德市城市建设投资集团有限公司
1680013.IB,16十堰管廊债,2016-01-19,企业债,十堰国有资本投资运营集团有限公司
1680018.IB,16四会国资债,2016-01-19,企业债,四会市国有资产经营有限公司
1680012.IB,16闽投01,2016-01-19,企业债,福建省投资开发集团有限责任公司
1680017.IB,16奥德01,2016-01-20,企业债,奥德集团有限公司
127350.SH,PR浙滨债,2016-01-22,企业债,浙江滨海新区开发投资有限公司
1680005.IB,16产建双创专项债,2016-01-22,企业债,浏阳现代制造产业建设投资开发有限公司
127335.SH,PR昌乐债,2016-01-22,企业债,昌乐县新城发展有限公司
1680025.IB,16娄底锑都债,2016-01-25,企业债,娄底锑都投资发展有限公司
1680021.IB,16禹州债,2016-01-25,企业债,禹州市投资总公司
1680010.IB,16浏阳经开债01,2016-01-25,企业债,湖南金阳投资集团有限公司
1680003.IB,16新沂债,2016-01-25,企业债,新沂市城市投资发展集团有限公司
1680022.IB,16兴资债,2016-01-26,企业债,资中县兴资投资开发集团有限责任公司
1680027.IB,16嘉鱼债,2016-01-26,企业债,嘉鱼县城镇建设投资有限公司
1680033.IB,16醴陵高新债,2016-01-26,企业债,醴陵市高新技术产业发展集团有限公司
1680031.IB,16瓯海专项债,2016-01-26,企业债,浙江瓯海城市建设投资集团有限公司
127356.SH,PR常德债,2016-01-26,企业债,常德市城市建设投资集团有限公司
127303.SH,PR秦汉债,2016-01-27,企业债,陕西省西咸新区秦汉新城开发建设集团有限责任公司
1680030.IB,16泗阳债,2016-01-27,企业债,泗阳县民康农村经济发展有限公司
1680016.IB,16郴州福城债,2016-01-27,企业债,郴州福城高新投资有限公司
1680011.IB,16开福城投债01,2016-01-27,企业债,长沙开福城市建设投资有限公司
1680028.IB,16黄冈城投债,2016-01-27,企业债,黄冈市城市建设投资有限公司
1680024.IB,16六盘水开投债,2016-01-27,企业债,六盘水市开发投资有限公司
127245.SH,PR荆高新,2016-01-28,企业债,荆门高新技术产业开发有限责任公司
1680048.IB,16襄阳经开债,2016-01-28,企业债,襄阳东津国有资本投资集团有限公司
1680047.IB,16丹投债,2016-01-29,企业债,丹阳投资集团有限公司
1680052.IB,16广州地铁可续期债01,2016-01-29,企业债,广州地铁集团有限公司
127358.SH,PR平阳债,2016-01-29,企业债,平阳县国资发展有限公司
127381.SH,PR仪征发,2016-01-29,企业债,仪征市城市发展投资控股集团有限公司
1680008.IB,16衡阳交投债,2016-01-29,企业债,衡阳市交通建设投资有限公司
1680029.IB,16芙蓉城投债,2016-01-29,企业债,长沙市芙蓉城市建设投资集团有限公司
1680023.IB,16瑞安债,2016-02-01,企业债,瑞安市国有资产投资集团有限公司
127341.SH,PR正棚改,2016-02-01,企业债,石家庄滹沱新区投资开发有限公司
1680050.IB,16岳阳专项债,2016-02-01,企业债,岳阳市城市建设投资有限公司
1680020.IB,16宁乡经开债,2016-02-01,企业债,宁乡经济技术开发区建设投资有限公司
1680043.IB,16富春山居债,2016-02-02,企业债,杭州富阳开发区建设投资集团有限公司
1680053.IB,16首发债,2016-02-02,企业债,北京市首都公路发展集团有限公司
1680036.IB,16遵经开债,2016-02-02,企业债,遵义经济技术开发区投资建设有限公司
1680049.IB,16井开债,2016-02-02,企业债,吉安市井冈山开发区金庐陵经济发展有限公司
1680041.IB,16雨花城投债,2016-02-02,企业债,长沙市雨花城市建设投资集团有限公司
1680037.IB,16大理海东债,2016-02-02,企业债,大理海东开发投资集团有限公司
127362.SH,16闽投01,2016-02-02,企业债,福建省投资开发集团有限责任公司
1680034.IB,16温城专项债01,2016-02-03,企业债,温州市城市建设发展集团有限公司
1680059.IB,16吉市城建债,2016-02-03,企业债,吉林市城市建设控股集团有限公司
1680026.IB,16六盘水住投债,2016-02-03,企业债,六盘水市民生产业投资集团有限责任公司
1680035.IB,16阿勒泰,2016-02-03,企业债,阿勒泰地区国有资产投资经营有限公司
1680045.IB,16高密债,2016-02-03,企业债,高密市国有资产经营投资有限公司
1680060.IB,16上饶国资债,2016-02-03,企业债,上饶市国有资产经营集团有限公司
1680046.IB,16观山湖债01,2016-02-04,企业债,贵阳观山湖投资(集团)有限公司
1680065.IB,16普湾债,2016-02-04,企业债,大连时泰城市建设发展有限公司
1680051.IB,16万宝开投债01,2016-02-04,企业债,娄底市万宝新区开发投资集团有限公司
127340.SH,15冀广02,2016-02-05,企业债,中国广电河北网络股份有限公司
1680062.IB,16泸州兴阳债,2016-02-05,企业债,泸州兴阳投资集团有限公司
127353.SH,PR渝缙云,2016-02-15,企业债,重庆缙云资产经营(集团)有限公司
127383.SH,PR宁乡债,2016-02-18,企业债,宁乡经济技术开发区建设投资有限公司
127314.SH,PR睢润企,2016-02-19,企业债,睢宁县润企投资有限公司
127279.SH,PR浏新城,2016-02-19,企业债,湖南金阳新城建设发展集团有限公司
127387.SH,PR雨花债,2016-02-19,企业债,长沙市雨花城市建设投资集团有限公司
127317.SH,PR平崆旅,2016-02-22,企业债,平凉文化旅游产业投资集团有限责任公司
127338.SH,PR宜高投,2016-02-22,企业债,宜昌高新投资开发有限公司
127067.SH,PR遵经债,2016-02-23,企业债,遵义经济技术开发区投资建设有限公司
123031.SH,PR温城01,2016-02-24,企业债,温州市城市建设发展集团有限公司
127355.SH,PR凯投01,2016-02-24,企业债,贵州省凯里城镇建设投资有限公司
127345.SH,PR盐高新,2016-02-24,企业债,盐城高新区投资集团有限公司
127367.SH,PR沪城建,2016-02-29,企业债,上海城建(集团)有限公司
1680040.IB,16新密财源债,2016-03-03,企业债,新密市财源投资集团有限公司
1680068.IB,16陕西旅游债,2016-03-07,企业债,陕西旅游集团有限公司
127360.SH,PR兴义债,2016-03-07,企业债,兴义市信恒城市建设投资有限公司
1680044.IB,16威海债,2016-03-08,企业债,威海城市投资集团有限公司
1680080.IB,16鲁铁投债,2016-03-09,企业债,山东铁路投资控股集团有限公司
127385.SH,PR兴资债,2016-03-09,企业债,资中县兴资投资开发集团有限责任公司
1680072.IB,16齐河债,2016-03-09,企业债,齐河县城市经营建设投资有限公司
1680071.IB,16苏州恒澄债,2016-03-09,企业债,苏州市恒澄建设发展有限公司
127380.SH,PR阿勒泰,2016-03-10,企业债,阿勒泰地区国有资产投资经营有限公司
1680074.IB,16新天专项债,2016-03-11,企业债,郴州市新天投资有限公司
1680076.IB,16柳州投控债,2016-03-14,企业债,广西柳州市投资控股集团有限公司
127377.SH,PR黄冈债,2016-03-14,企业债,黄冈市城市建设投资有限公司
1680078.IB,16鲁信集团债,2016-03-15,企业债,山东省鲁信投资控股集团有限公司
1680081.IB,16观山湖债02,2016-03-15,企业债,贵阳观山湖投资(集团)有限公司
1680073.IB,16鼎力专项债,2016-03-15,企业债,常德鼎力投资开发有限公司
1680085.IB,16安经开债,2016-03-15,企业债,安庆经济技术开发区建设投资集团有限公司
1680082.IB,16建安债,2016-03-16,企业债,建安投资控股集团有限公司
127386.SH,PR丹投资,2016-03-16,企业债,丹阳投资集团有限公司
127347.SH,15昆水务,2016-03-16,企业债,昆明滇池水务股份有限公司
1680090.IB,16广晟债01,2016-03-17,企业债,广东省广晟控股集团有限公司
1680086.IB,16阿克苏债,2016-03-17,企业债,阿克苏地区绿色实业开发有限公司
