code,name,ipo_date,type,inst
1680091.IB,16汇盛投资债,2016/3/21,企业债,浙江汇盛投资集团有限公司
127407.SH,PR汇盛债,2016/5/19,企业债,浙江汇盛投资集团有限公司
136683.SH,G16三峡2,2016/9/21,公司债,中国长江三峡集团有限公司
136626.SH,G16节能2,2016/9/26,公司债,中国节能环保集团有限公司
136714.SH,G16节能3,2016/10/21,公司债,中国节能环保集团有限公司
136715.SH,G16节能4,2016/10/21,公司债,中国节能环保集团有限公司
131656048.IB,16武汉地铁GN002,2016/10/27,中期票据,武汉地铁集团有限公司
142257.SH,PR公交6,2016/11/15,资产支持证券,无锡市交通产业集团有限公司
142258.SH,G锡公交7,2016/11/15,资产支持证券,无锡市交通产业集团有限公司
142259.SH,G锡公交8,2016/11/15,资产支持证券,无锡市交通产业集团有限公司
142260.SH,G锡公交9,2016/11/15,资产支持证券,无锡市交通产业集团有限公司
142261.SH,G锡交10,2016/11/15,资产支持证券,无锡市交通产业集团有限公司
1780006.IB,17龙湖绿色债02,2017/2/27,企业债,重庆龙湖企业拓展有限公司
127467.SH,G17龙湖2,2017/3/9,企业债,重庆龙湖企业拓展有限公司
1780014.IB,17龙湖绿色债03,2017/3/14,企业债,重庆龙湖企业拓展有限公司
127470.SH,G17龙湖3,2017/3/21,企业债,重庆龙湖企业拓展有限公司
081776007.IB,17北控水务ABN001次,2017/4/26,资产支持证券,北控水务(中国)投资有限公司
1780073.IB,17产建绿色01,2017/5/8,企业债,浏阳现代制造产业建设投资开发有限公司
127482.SH,PR产建1,2017/5/15,企业债,浏阳现代制造产业建设投资开发有限公司
143110.SH,G17龙源1,2017/5/31,公司债,龙源电力集团股份有限公司
1780092.IB,17云水务绿色债,2017/6/5,企业债,云南水务投资股份有限公司
139372.SH,G17云绿1,2017/6/9,企业债,云南水务投资股份有限公司
131760004.IB,17南通经开GN002,2017/6/23,定向工具,南通经济技术开发区控股集团有限公司
143130.SH,G17华电1,2017/6/23,公司债,中国华电集团有限公司
1780128.IB,17京汽绿色债,2017/7/10,企业债,北京汽车股份有限公司
127495.SH,G17京汽1,2017/7/21,企业债,北京汽车股份有限公司
1780148.IB,17丹投绿色债,2017/7/24,企业债,丹阳投资集团有限公司
131781001.IB,17武汉地铁GN001,2017/7/26,中期票据,武汉地铁集团有限公司
1780172.IB,17靖江绿色债,2017/7/31,企业债,靖江市滨江新城投资开发有限公司
1780179.IB,17龙源绿色债01,2017/8/3,企业债,龙源电力集团股份有限公司
143181.SH,G17华电3,2017/8/3,公司债,中国华电集团有限公司
1780189.IB,17洪泽绿色债,2017/8/7,企业债,江苏洪泽湖神舟旅游开发有限公司
143209.SH,G17光水1,2017/8/7,公司债,中国光大水务有限公司
146234.SH,G武铁10,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146235.SH,G武铁11,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146236.SH,G武铁12,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146237.SH,G武铁13,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146238.SH,G武铁14,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146239.SH,G武铁15,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146240.SH,G武铁16,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146241.SH,G武铁17,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146242.SH,G武铁18,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146243.SH,G武铁19,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
146244.SH,G武铁20,2017/8/8,资产支持证券,武汉市轨道交通建设有限公司
127540.SH,G17龙源2,2017/8/15,企业债,龙源电力集团股份有限公司
1780215.IB,17产建绿色02,2017/8/15,企业债,浏阳现代制造产业建设投资开发有限公司
127570.SH,PR产建2,2017/8/23,企业债,浏阳现代制造产业建设投资开发有限公司
1780241.IB,17川纳绿色NPB,2017/8/23,企业债,四川纳兴实业集团有限公司
127556.SH,PR靖新债,2017/8/25,企业债,靖江市滨江新城投资开发有限公司
1780243.IB,17武汉地铁绿色债01,2017/8/28,企业债,武汉地铁集团有限公司
1780248.IB,17沣西绿色债,2017/8/29,企业债,陕西省西咸新区沣西新城开发建设(集团)有限公司
143249.SH,G17华电4,2017/9/1,公司债,中国华电集团有限公司
139362.SH,PR沣西G1,2017/9/5,企业债,陕西省西咸新区沣西新城开发建设(集团)有限公司
131760005.IB,17徐州经开GN001,2017/9/7,中期票据,徐州经济技术开发区国有资产经营有限责任公司
127589.SH,G17武铁1,2017/9/8,企业债,武汉地铁集团有限公司
1780278.IB,17广州发展绿色债01,2017/9/12,企业债,广州发展集团股份有限公司
1780277.IB,17汴投绿色债,2017/9/14,企业债,开封市发展投资集团有限公司
127616.SH,G17发展1,2017/9/19,企业债,广州发展集团股份有限公司
131751002.IB,17核风电GN001,2017/9/19,中期票据,中广核风电有限公司
143285.SH,G17风电1,2017/9/22,公司债,中节能风力发电股份有限公司
1780299.IB,17汇丰绿债,2017/9/26,企业债,萍乡市汇丰投资有限公司
127641.SH,PR汇丰债,2017/10/12,企业债,萍乡市汇丰投资有限公司
127617.SH,PR汴投1,2017/10/16,企业债,开封市发展投资集团有限公司
146326.SH,PRG桑德,2017/10/23,资产支持证券,北京京禹顺环保有限公司
146327.SH,G桑德次,2017/10/23,资产支持证券,北京京禹顺环保有限公司
1780350.IB,17扬中城投绿色债,2017/11/6,企业债,扬中市城市建设投资发展集团有限公司
1780354.IB,17丹徒建投债,2017/11/8,企业债,镇江市丹徒区建设投资有限公司
143347.SH,G17能源1,2017/11/14,公司债,山西国际能源集团有限公司
1780366.IB,17铜陵绿色NPB01,2017/11/20,企业债,铜陵市国有资本运营控股集团有限公司
127690.SH,PRG丹徒1,2017/11/29,企业债,镇江市丹徒区建设投资有限公司
1780364.IB,17森特债01,2017/12/1,企业债,湖南森特实业投资有限公司
112617.SZ,17深能G1,2017/12/4,公司债,深圳能源集团股份有限公司
127686.SH,G17扬城1,2017/12/20,企业债,扬中市城市建设投资发展集团有限公司
112623.SZ,17丽鹏G1,2017/12/20,公司债,山东中锐产业发展股份有限公司
112624.SZ,17鑫能G1,2017/12/21,公司债,协鑫智慧能源(苏州)有限公司
116714.SZ,节能优A,2017/12/28,资产支持证券,成都绿城节能投资有限公司
116715.SZ,节能优B,2017/12/28,资产支持证券,成都绿城节能投资有限公司
1780422.IB,17西藏开投绿色债NPB,2018/1/4,企业债,西藏开发投资集团有限公司
127718.SH,PR17森特,2018/1/11,企业债,湖南森特实业投资有限公司
131800004.IB,18越秀集团GN001,2018/2/28,中期票据,广州越秀集团股份有限公司
1880031.IB,18盐城城南债01,2018/3/22,企业债,盐城市城南新区开发建设投资有限公司
1880041.IB,18陕金控绿色债,2018/3/27,企业债,陕西金融控股集团有限公司
1880035.IB,18河钢绿色债,2018/3/29,企业债,河钢股份有限公司
127764.SH,PRG城南1,2018/4/3,企业债,盐城市城南新区开发建设投资有限公司
143519.SH,G18临港2,2018/4/4,公司债,上海临港经济发展(集团)有限公司
127782.SH,G18金控1,2018/4/16,企业债,陕西金融控股集团有限公司
1880061.IB,18武汉地铁绿色债01,2018/4/17,企业债,武汉地铁集团有限公司
1880001.IB,18国轩绿色债01,2018/4/19,企业债,国轩高科股份有限公司
143544.SH,G18华综1,2018/4/24,公司债,珠海华发综合发展有限公司
1880071.IB,18龙源绿色债01,2018/4/25,企业债,龙源电力集团股份有限公司
1880074.IB,18嘉湘绿色债,2018/4/26,企业债,嘉兴市湘家荡发展投资集团有限公司
127788.SH,G18武铁1,2018/4/27,企业债,武汉地铁集团有限公司
131800009.IB,18扬州交通GN001,2018/4/27,中期票据,扬州市交通产业集团有限责任公司
1880089.IB,18黄山债,2018/5/7,企业债,黄山城投集团有限公司
1880085.IB,18安吉绿色债01,2018/5/8,企业债,安吉县城市建设投资集团有限公司
1880106.IB,18广业绿色债01,2018/5/8,企业债,广东省环保集团有限公司
081800052.IB,18华润租赁ABN001次,2018/5/9,资产支持证券,华润融资租赁有限公司
127792.SH,G18龙源1,2018/5/10,企业债,龙源电力集团股份有限公司
111071.SZ,18河钢G1,2018/5/18,企业债,河钢股份有限公司
127806.SH,PRG安吉1,2018/5/21,企业债,安吉县城市建设投资集团有限公司
127798.SH,PRG嘉湘1,2018/5/23,企业债,嘉兴市湘家荡发展投资集团有限公司
127810.SH,G18广业1,2018/5/30,企业债,广东省环保集团有限公司
127808.SH,PRG黄山1,2018/7/11,企业债,黄山城投集团有限公司
143723.SH,G18风电1,2018/7/31,公司债,中节能风力发电股份有限公司
131800014.IB,18武汉地铁GN001,2018/7/31,中期票据,武汉地铁集团有限公司
SDE886.IOC,恒安电力05,2018/8/10,资产支持证券,金平新源水电开发有限公司
SDE887.IOC,恒安电力06,2018/8/10,资产支持证券,金平新源水电开发有限公司
SDE889.IOC,恒安电力07,2018/8/10,资产支持证券,金平新源水电开发有限公司
SDE890.IOC,恒安电力08,2018/8/10,资产支持证券,金平新源水电开发有限公司
SDE891.IOC,恒安电力09,2018/8/10,资产支持证券,金平新源水电开发有限公司
1880153.IB,18树业环保绿色债,2018/8/16,企业债,树业环保科技股份有限公司
143745.SH,G18三峡2,2018/8/16,公司债,中国长江三峡集团有限公司
149471.SH,PR能05,2018/8/22,资产支持证券,中节能(合肥)可再生能源有限公司
149472.SH,G节能次,2018/8/22,资产支持证券,中节能(合肥)可再生能源有限公司
127839.SH,G18树业,2018/8/27,企业债,树业环保科技股份有限公司
1880157.IB,18广业绿色债02,2018/8/27,企业债,广东省环保集团有限公司
1880165.IB,18武汉地铁绿色债02,2018/8/27,企业债,武汉地铁集团有限公司
150587.SH,G18青信1,2018/8/27,公司债,青岛国信发展(集团)有限责任公司
127845.SH,G18武铁2,2018/8/31,企业债,武汉地铁集团有限公司
143525.SH,G18光水1,2018/9/3,公司债,中国光大水务有限公司
127840.SH,G18广业2,2018/9/6,企业债,广东省环保集团有限公司
150646.SH,G18乌交1,2018/9/26,公司债,乌鲁木齐市城市交通投资有限责任公司
1880193.IB,18安吉绿色债02,2018/9/28,企业债,安吉县城市建设投资集团有限公司
127842.SH,PRG安吉2,2018/10/18,企业债,安吉县城市建设投资集团有限公司
131800018.IB,18三峡GN001,2018/12/4,中期票据,中国长江三峡集团有限公司
136914.SH,G18京Y4,2018/12/6,公司债,北京市基础设施投资有限公司
131800019.IB,18蓉城轨交GN001,2018/12/7,中期票据,成都轨道交通集团有限公司
155053.SH,G18首股,2018/12/10,公司债,北京首创生态环保集团股份有限公司
139235.SZ,18天汇08,2018/12/12,资产支持证券,海南海控能源股份有限公司
139236.SZ,18天汇09,2018/12/12,资产支持证券,海南海控能源股份有限公司
139237.SZ,18天汇10,2018/12/12,资产支持证券,海南海控能源股份有限公司
1880284.IB,18宜昌绿色债NPB,2018/12/20,企业债,宜昌高新投资开发有限公司
1880307.IB,18晋开绿色NPB,2018/12/21,企业债,河南晋开化工投资控股集团有限责任公司
1880301.IB,18先行绿色债,2018/12/24,企业债,江苏先行建设有限公司
